"Action","操作"
"An error occurred while creating the backup.","建立备份时发生错误。"
"An error occurred while writing to the backup file ""%s"".","写入备份文件 ""%s"" 时发生一个错误。"
"Are you sure you want to delete the selected backup(s)?","你确定要删除选定的备份（S）？"
"Backup Type","备份类型"
"Backup file ""%s"" cannot be read from or written to.","备份文件 ""%s"" 不能读取或写入。"
"Backup file ""%s"" does not exist.","备份文件 ""%s"" 不存在。"
"Backup file does not exist.","备份文件不存在。"
"Backup file handler was unspecified.","未指定备份文件的处理程式。"
"Backup file not found","备份文件没有找到"
"Backup file path was not specified.","备份文件路径未指定。"
"Backups","备份"
"Cannot read backup file.","无法读取备份文件。"
"Create Backup","建立备份"
"Database Backup","数据库备份"
"Database and Media Backup","备份数据库和媒体"
"Database was successfuly backed up.","数据库已成功备份。"
"Download","下载"
"Enable Scheduled Backup","启用计划备份"
"Failed to connect to FTP","无法连接到FTP"
"Failed to delete one or several backups.","删除一个或多个备份失败。"
"Failed to rollback","无法回滚"
"Failed to validate FTP","无法验证FTP"
"Frequency","频率"
"Invalid Password.","无效的密码。"
"Maintenance Mode","维护模式"
"Name","名称"
"Not enough free space to create backup.","没有足够的可用空间来建立备份。"
"Not enough permissions to create backup.","没有足够的权限来建立备份。"
"Not enough permissions to perform rollback","没有足够的权限来执行回滚"
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup.""","请或者取消选择"认沽店"，"维护模式"复选框，或更新您的权限进行备份。""
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback.""","请或者取消选择"认沽店"，"维护模式"复选框，或更新您的权限进行回滚"。""
"Put store on the maintenance mode while backup's creation","放在维护模式的商店，而备份的创造"
"Rollback","回滚"
"Scheduled Backup Settings","排定的备份设置"
"Size, Bytes","大小，位元组"
"Start Time","开始时间"
"System Backup","系统备份"
"System couldn't put store on the maintenance mode","系统无法放在店维修模式"
"The database and media backup has been created.","已建立的数据库和媒体备份。"
"The database backup has been created.","已建立的数据库备份。"
"The file was compressed with Zlib, but this extension is not installed on server.","该文件已使用Zlib压缩，但伺服器上没有安装该扩展。"
"The selected backup(s) has been deleted.","选定的备份（S）已被删除。"
"The system (excluding Media) backup has been created.","（不包括媒体）的系统备份已建立。"
"The system backup has been created.","已建立系统备份。"
"Time","时间"
"Type","类型"
"Unable to create backup. Please, try again later.","无法建立备份。请稍候重试。"
"Unable to save the cron expression.","无法保存cron表达式。"
"Wrong order of creation for new backup.","建立新备份的顺序有误。"
"You do not have sufficient permissions to enable Maintenance Mode during this operation.","你没有足够的权限，以便在此操作过程中的维护模式。"
